sampler,project,depth,location,loranXY,year,month,day,crab.number,carapace.width,sex,maturity,weight,egg.colour,chela.height,shell.condition,missing.legs,abdomen.width,tag.number,egg.weight,egg.sample.count,egg.sample.weight,fecundity,egg.sample.percentage,egg.comment,comment
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,1,68,2,m,,or,10,o,xxxxxxxxxx,45,193,3.9487,1000,688,57393,1.74,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,2,60,2,m,,or,8,o,xxxxxxxxxx,38,194,3.2058,1000,753,42573,2.35,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,3,64,2,m,,or,9,o,xxxxxxxxxx,44,195,4.4124,1000,755,58442,1.71,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,4,61,2,m,,or,9,o,xxxxxxxxxx,43,196,3.4636,1000,738,46932,2.13,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,5,69,2,m,145,or,9,o,xxxxxxxxxx,44,197,4.906,1000,730,67205,1.74,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,6,58,2,m,90,or,8,o,xxxxxxxxxx,39,198,,1000,,,,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,7,61,2,m,100,or,9,o,xxxxxxxx1x,40,199,3.7023,1000,715,51780,1.93,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,8,64,2,m,110,or,9,o,xxxxxxxxxx,44,200,4.0925,1000,691,59225,1.69,tr,deformed abdomen
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,9,68,2,m,122,or,9,o,xxxxxxxxxx,46,201,3.878,1000,743,52193,1.92,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,10,71,2,m,150,or,10,o,xxxxxxxxxx,46,202,4.9571,1000,649,76380,1.31,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,11,70,2,m,135,or-y,10,o,xxxxxxxxxx,48,203,,1000,,,,tr,no good
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,12,66,2,m,112,or,10,o,xxxxxxxxxx,43,204,3.623,1000,649,53357,1.87,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,13,66,2,m,118,or,10,o,xxxxxx1xxx,45,205,4.2808,1000,715,59871,1.67,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,14,61,2,m,104,or-y,9,o,xxxxx1xxxx,47,206,3.4081,1000,646,52756,1.9,tr,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,15,62,2,m,108,or-y,8,o,xxxxxxxxxx,43,207,3.9877,1000,735,54254,1.84,trl,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,16,66,2,m,120,or-y,10,o,xxxxxxxxxx,45,208,3.7621,1000,688,54681,1.83,trl,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,17,63,2,m,110,or-y,8,o,xxxxxxxxxx,42,209,3.6248,1000,657,55171,1.81,trl,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,18,68,2,m,130,or-y,9,o,xxxxxxxxxx,48,210,4.1301,1000,667,61920,1.62,trl,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,19,64,2,m,120,or,9,o,xxxxxxxxxx,45,211,4.2927,1000,727,59046,1.69,trl,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,20,65,2,m,108,or,9,o,xxxxxxxxxx,45,212,3.3427,1000,666,50190,1.99,t,
,,,,,,,,,,,,,,,,,,213,,,,,,,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,21,64,2,m,122,or-y,9,o,xxxxxxxxxx,42,214,4.0502,1000,637,63582,1.57,t,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,22,66,2,m,120,or,8,o,xxxxxxxxxx,47,215,3.5991,1000,741,48570,2.04,t,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,23,63,2,m,114,or-y,9,o,xxxxxxxxxx,41,216,3.6024,1000,673,51982,1.92,t,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,24,69,2,m,140,or-y,10,o,xxxxxxxxxx,47,169,4.6872,1000,742,63169,1.58,t,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,25,77,2,m,185,y,10,o,xxxxxxxxxx,56,170,5.8304,1000,673,84132,1.19,t,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,26,68,2,m,135,or,9,o,xxxxxxxxxx,44,171,4.0675,1000,697,58357,1.71,t,carap. and abdo. In lab 60;44
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,27,61,2,m,100,or,8,o,xxxxxxxxxx,41,172,3.3565,1000,664,50549,1.98,,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,28,66,2,m,140,,9,o,xxxxxxxxxx,46,173,3.7797,1000,713,55791,1.79,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,1,65,2,m,114,o,9,,xxxxxxxxxx,43,174,4.0649,1000,708,57413,1.74,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,2,73,2,m,98,o,8,,xxxxxxxxxx,40,175,3.4708,1000,688,50447,1.98,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,3,68,2,m,118,o,9,,xxxxxxxxxx,45,176,3.9008,1000,722,54027,1.85,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,4,66,2,m,118,o,9,,xxxxxxxxxx,43,177,4.3314,1000,738,58691,1.7,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,5,66,2,m,124,o,9,,xxxxxxxxxx,43,178,4.3806,1000,712,61525,1.63,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,6,64,2,m,114,o,9,,xxxxxxxxxx,46,179,,1000,,,,l-r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,7,59,2,m,92,o,8,,xxxxxxxxxx,40,180,3.1407,1000,673,46667,2.14,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,8,66,2,m,122,o,9,,xxxxxxxxxx,45,181,4.3235,1000,697,62030,1.61,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,9,63,2,m,104,o,8,,xxxxxxxxxx,41,182,3.5569,1000,691,51474,1.94,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,10,60,2,m,90,o,8,,xxx1xxxxxx,41,183,2.9275,1000,673,43499,2.3,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,11,58,2,m,66,o,8,,x1xx11x111,38,184,2.1649,1000,655,33051,3.03,,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,12,55,2,m,62,o,7,,xxxxxxxxxx,37,,,1000,,,,no egg sample,no egg sample
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,13,61,2,m,90,o,8,,xx1xxxxxxx,40,185,3.7174,1000,735,50576,1.98,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,14,66,2,m,130,oy,9,,xxxxxxxx1x,46,186,4.2369,1000,672,63049,1.39,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,15,66,2,m,112,o,9,,xxxxxxxxxx,45,187,4.1105,1000,767,53591,1.87,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,16,65,2,m,112,oy,9,,xxxxxxxxxx,46,188,,1000,,,,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,17,62,2,m,100,o,8,,xxxxxxxxx1,42,189,3.6698,1000,707,51906,1.93,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,18,67,2,m,130,oy,9,,xxxxxxxxxx,44,190,4.7174,1000,726,64977,1.54,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,19,60,2,m,88,oy,,,11xx21xxxx,39,191,2.8902,1000,642,45028,2.22,,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,20,63,2,m,98,oy,8,,xxxxxxxx1x,42,73,3.6539,1000,692,52802,1.89,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,21,58,2,m,76,oy,8,,xxxx1x1xxx,38,74,2.6915,1000,672,40052,2.5,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,22,62,2,m,94,oy,8,,xxxxxx22xx,40,75,2.9016,1000,733,39585,2.53,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,23,62,2,m,88,oy,8,,xxxxxxxxxx,40,76,3.0203,1000,668,45214,2.21,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,24,67,2,m,128,oy,10,,11xxxxxxxx,45,77,3.9413,1000,707,55746,1.77,l-r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,25,69,2,m,124,oy,9,,xxxxxx1xxx,47,78,4.2642,1000,698,61091,1.64,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,26,66,2,m,112,oy,9,,xxxxxxxxxx,45,79,4.0955,1000,692,59183,1.69,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,27,69,2,m,140,oy,9,,xxxxxxxxxx,44,80,4.9974,1000,726,68834,1.45,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,28,62,2,m,104,oy,8,,xxxxxxxxxx,42,81,3.4941,1000,701,49844,2.01,l,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,29,64,2,m,118,oy,9,,1xxxxxxxxx,44,82,4.0811,1000,737,55374,1.81,r,carap. and abdo. In lab 62;43 
,,,,,,,,,,,,,,,,,,,,,,,,,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,1,70,2,m,140,oy,9,,xxxxx1xxxx,45,83,4.3649,1000,718,60792,1.65,l-r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,2,68,2,m,126,oy,,,1xxxx1xxxx,46,84,4.9723,1000,682,72907,1.37,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,3,61,2,m,94,oy,8,,xxxxx11xxx,41,85,3.0063,1000,702,42824,2.34,l-r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,4,65,2,m,108,oy,8,,xxxxxxxxxx,43,86,3.1359,1000,653,48022,2.08,l-r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,5,61,2,m,108,oy,8,,xxxxxxxxxx,41,87,,,,,,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,6,66,2,m,118,oy,9,,xxxxxxxx11,45,88,4.4205,1000,721,61310,1.63,l-r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,7,58,2,m,,oy,8,,xxx1x1xx1x,38,89,2.8956,1000,724,39994,2.5,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,8,68,2,m,118,oy,9,,xxxxxxxxxx,43,90,4.1156,1000,743,55391,1.81,l-r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,9,65,2,m,116,oy,9,,xxxxxxxxxx,43,91,4.1625,1000,734,56709,1.76,r,
Mikio,Fecundity,35 fathoms,PEI,14679/29933,1986,5,31,10,67,2,m,130,oy,9,,xxxxxxxxxx,48,92,4.3844,1000,707,62014,1.61,r,
